bill_id,customer_id,date,amount_billed,amount_paid
1,56,2025-07-01,35.44,42.39
2,55,2025-07-01,96.31,51.51
3,90,2025-07-01,87.78,17.13
4,13,2025-07-01,88.07,22.14
5,60,2025-07-01,71.94,59.93
6,42,2025-07-01,66.1,17.17
7,51,2025-07-01,64.81,55.22
8,95,2025-07-01,33.47,98.82
9,37,2025-07-01,36.2,68.61
10,65,2025-07-01,72.51,8.81
11,41,2025-07-01,28.51,56.16
12,1,2025-07-01,43.23,12.11
13,8,2025-07-01,75.43,79.06
14,88,2025-07-01,18.97,37.42
15,39,2025-07-01,63.45,62.93
16,84,2025-07-01,28.37,46.31
17,54,2025-07-01,31.83,91.06
18,70,2025-07-01,80.72,44.51
19,7,2025-07-01,10.25,41.87
20,44,2025-07-01,81.06,79.15
21,28,2025-07-01,99.01,3.85
22,38,2025-07-01,86.36,75.79
23,27,2025-07-01,21.97,16.69
24,86,2025-07-01,81.07,94.9
25,68,2025-07-01,14.1,94.21
26,64,2025-07-01,69.73,24.68
27,30,2025-07-01,58.85,5.79
28,99,2025-07-01,42.37,72.63
29,50,2025-07-01,40.57,41.8
30,93,2025-07-01,69.17,86.85
31,71,2025-07-01,33.81,39.93
32,85,2025-07-01,55.54,57.31
33,22,2025-07-01,73.37,1.54
34,62,2025-07-01,17.82,71.96
35,58,2025-07-01,91.95,97.59
36,32,2025-07-01,57.33,10.03
37,36,2025-07-01,43.54,97.69
38,97,2025-07-01,75.08,94.78
39,35,2025-07-01,77.79,87.49
40,57,2025-07-01,38.15,25.51
41,45,2025-07-01,47.51,15.81
42,94,2025-07-01,73.95,91.37
43,24,2025-07-01,39.57,17.93
44,2,2025-07-01,66.63,60.93
45,63,2025-07-01,83.04,49.25
46,74,2025-07-01,51.98,47.28
47,80,2025-07-01,69.64,90.31
48,73,2025-07-01,27.89,97.42
49,46,2025-07-01,76.18,9.54
50,5,2025-07-01,63.45,52.19
51,61,2025-07-01,42.19,84.59
52,6,2025-07-01,68.81,6.98
53,81,2025-07-01,20.28,8.19
54,31,2025-07-01,60.53,33.2
55,33,2025-07-01,58.81,8.2
56,87,2025-07-01,87.0,3.19
57,25,2025-07-01,42.35,90.95
58,92,2025-07-01,81.81,14.4
59,3,2025-07-01,48.2,84.87
60,67,2025-07-01,81.74,26.89
61,34,2025-07-01,61.3,3.64
62,43,2025-07-01,41.06,40.55
63,47,2025-07-01,87.37,67.95
64,53,2025-07-01,81.57,73.13
65,69,2025-07-01,96.69,60.96
66,91,2025-07-01,92.43,76.45
67,23,2025-07-01,69.98,25.06
68,100,2025-07-01,64.18,18.26
69,16,2025-07-01,80.56,11.47
70,98,2025-07-01,80.95,53.03
71,4,2025-07-01,91.86,39.93
72,20,2025-07-01,93.35,57.29
73,9,2025-07-01,75.71,42.6
74,11,2025-07-01,31.88,8.41
75,78,2025-07-01,42.22,29.18
76,17,2025-07-01,13.0,48.74
77,15,2025-07-01,43.78,38.76
78,10,2025-07-01,32.08,63.37
79,29,2025-07-01,32.07,41.08
80,75,2025-07-01,83.59,83.52
