customer_id,date,amount_billed,amount_paid
64,2025-07-08,38.05,19.76
17,2025-07-08,39.08,5.02
35,2025-07-08,86.69,65.88
46,2025-07-08,49.16,18.15
39,2025-07-08,95.25,27.21
61,2025-07-08,27.14,62.41
77,2025-07-08,14.37,70.14
37,2025-07-08,27.58,18.64
6,2025-07-08,42.83,60.64
81,2025-07-08,98.73,20.24
1,2025-07-08,35.07,84.07
53,2025-07-08,89.63,49.84
9,2025-07-08,88.36,49.92
19,2025-07-08,41.2,59.69
34,2025-07-08,18.63,13.58
4,2025-07-08,41.46,42.76
16,2025-07-08,60.76,5.6
84,2025-07-08,58.93,77.61
38,2025-07-08,84.74,82.12
59,2025-07-08,49.06,3.35
88,2025-07-08,38.27,96.33
49,2025-07-08,15.08,66.63
10,2025-07-08,11.88,48.62
60,2025-07-08,72.2,64.38
87,2025-07-08,88.98,16.07
51,2025-07-08,95.22,22.39
76,2025-07-08,45.94,8.75
74,2025-07-08,12.38,11.84
65,2025-07-08,20.92,96.49
18,2025-07-08,76.84,38.47
52,2025-07-08,68.96,88.88
32,2025-07-08,87.6,3.37
13,2025-07-08,65.0,10.83
100,2025-07-08,14.92,15.51
93,2025-07-08,36.19,41.23
11,2025-07-08,84.18,84.68
33,2025-07-08,17.09,0.47
79,2025-07-08,78.66,23.3
44,2025-07-08,83.32,70.35
94,2025-07-08,32.73,57.04
63,2025-07-08,48.85,88.81
86,2025-07-08,15.06,91.58
91,2025-07-08,64.93,77.24
92,2025-07-08,63.14,22.78
68,2025-07-08,32.22,72.05
67,2025-07-08,27.07,98.2
28,2025-07-08,48.87,90.72
73,2025-07-08,44.59,76.56
97,2025-07-08,41.32,95.13
56,2025-07-08,90.02,62.46
12,2025-07-08,47.33,67.92
69,2025-07-08,34.22,52.25
48,2025-07-08,85.7,77.61
78,2025-07-08,99.75,44.08
42,2025-07-08,99.68,30.71
80,2025-07-08,15.66,15.46
8,2025-07-08,79.61,13.6
82,2025-07-08,29.22,19.98
55,2025-07-08,70.63,23.91
99,2025-07-08,80.32,52.53
75,2025-07-08,80.68,36.09
58,2025-07-08,42.01,93.38
15,2025-07-08,42.61,63.19
29,2025-07-08,22.38,53.56
50,2025-07-08,40.81,83.47
36,2025-07-08,60.5,60.53
21,2025-07-08,45.25,18.91
89,2025-07-08,75.0,79.48
71,2025-07-08,25.7,58.16
66,2025-07-08,17.48,96.33
26,2025-07-08,58.81,80.32
41,2025-07-08,42.32,92.56
57,2025-07-08,37.54,99.23
23,2025-07-08,77.53,7.52
43,2025-07-08,98.92,3.14
85,2025-07-08,18.4,75.64
14,2025-07-08,14.57,8.58
83,2025-07-08,57.48,38.04
45,2025-07-08,94.34,28.48
70,2025-07-08,46.67,77.31
