usage_id,customer_id,date,data_used_MB,voice_minutes
1,81,2025-07-07,215.64,44
2,19,2025-07-07,255.88,64
3,75,2025-07-07,555.32,47
4,30,2025-07-07,32.67,55
5,36,2025-07-07,127.45,49
6,52,2025-07-07,3.66,51
7,24,2025-07-07,39.78,44
8,86,2025-07-07,62.57,53
9,20,2025-07-07,97.11,67
10,12,2025-07-07,172.77,54
11,78,2025-07-07,115.94,52
12,94,2025-07-07,24.3,54
13,37,2025-07-07,62.29,54
14,100,2025-07-07,312.91,51
15,48,2025-07-07,862.8,38
16,26,2025-07-07,303.08,49
17,10,2025-07-07,110.72,65
18,4,2025-07-07,42.89,58
19,98,2025-07-07,188.06,56
20,93,2025-07-07,340.09,45
21,80,2025-07-07,193.73,52
22,97,2025-07-07,444.04,59
23,92,2025-07-07,36.78,54
24,16,2025-07-07,428.33,58
25,70,2025-07-07,509.77,52
26,54,2025-07-07,114.15,46
27,91,2025-07-07,468.13,50
28,53,2025-07-07,112.01,53
29,47,2025-07-07,1170.55,51
30,79,2025-07-07,23.01,50
31,56,2025-07-07,623.04,52
32,55,2025-07-07,412.49,43
33,73,2025-07-07,168.29,45
34,35,2025-07-07,121.84,53
35,34,2025-07-07,131.45,38
36,5,2025-07-07,136.02,41
37,15,2025-07-07,1264.32,44
38,38,2025-07-07,152.78,50
39,2,2025-07-07,224.25,48
40,59,2025-07-07,1260.51,53
41,50,2025-07-07,207.1,53
42,31,2025-07-07,582.41,56
43,87,2025-07-07,250.1,47
44,83,2025-07-07,466.09,55
45,23,2025-07-07,52.45,50
46,66,2025-07-07,13.83,48
47,84,2025-07-07,786.85,52
48,40,2025-07-07,1119.28,48
49,45,2025-07-07,47.13,46
50,62,2025-07-07,83.02,44
51,32,2025-07-07,70.11,49
52,49,2025-07-07,21.76,35
53,67,2025-07-07,96.02,52
54,89,2025-07-07,94.95,61
55,18,2025-07-07,32.64,61
56,17,2025-07-07,844.99,45
57,6,2025-07-07,19.78,47
58,1,2025-07-07,136.86,51
59,28,2025-07-07,19.6,49
60,25,2025-07-07,514.02,52
61,39,2025-07-07,538.22,56
62,9,2025-07-07,485.14,43
63,90,2025-07-07,502.62,49
64,96,2025-07-07,307.08,58
65,41,2025-07-07,22.02,48
66,46,2025-07-07,119.56,55
67,57,2025-07-07,112.89,61
68,29,2025-07-07,10.67,48
69,44,2025-07-07,266.05,49
70,76,2025-07-07,919.43,49
71,8,2025-07-07,15.06,52
72,82,2025-07-07,29.88,70
73,88,2025-07-07,84.29,46
74,74,2025-07-07,461.7,61
75,71,2025-07-07,228.8,51
76,65,2025-07-07,182.09,52
77,22,2025-07-07,92.0,50
78,27,2025-07-07,92.42,56
79,64,2025-07-07,75.06,58
80,51,2025-07-07,334.64,67
