customer_id,date,data_used_MB,voice_minutes
96,2025-07-11,461.61,58
74,2025-07-11,312.89,56
61,2025-07-11,725.48,55
31,2025-07-11,70.99,43
68,2025-07-11,175.17,57
75,2025-07-11,116.7,50
41,2025-07-11,13.15,53
60,2025-07-11,243.95,46
46,2025-07-11,641.79,54
56,2025-07-11,271.21,52
98,2025-07-11,53.77,61
51,2025-07-11,5.17,50
22,2025-07-11,968.98,47
97,2025-07-11,36.43,51
43,2025-07-11,201.36,48
57,2025-07-11,126.36,44
29,2025-07-11,113.05,42
12,2025-07-11,141.35,46
54,2025-07-11,73.89,46
71,2025-07-11,135.67,61
84,2025-07-11,549.55,50
6,2025-07-11,271.91,51
16,2025-07-11,851.22,44
76,2025-07-11,40.68,52
3,2025-07-11,28.7,54
63,2025-07-11,151.12,53
67,2025-07-11,928.49,72
2,2025-07-11,121.57,46
87,2025-07-11,10.01,45
18,2025-07-11,236.62,53
88,2025-07-11,1043.46,49
25,2025-07-11,1074.85,43
79,2025-07-11,4.96,45
83,2025-07-11,269.55,56
42,2025-07-11,202.57,47
59,2025-07-11,221.87,43
64,2025-07-11,318.11,51
80,2025-07-11,10.2,52
4,2025-07-11,490.25,50
36,2025-07-11,16.86,43
48,2025-07-11,11.97,60
19,2025-07-11,128.54,44
40,2025-07-11,65.79,36
95,2025-07-11,172.2,39
11,2025-07-11,31.34,58
10,2025-07-11,63.84,49
28,2025-07-11,303.19,57
99,2025-07-11,337.28,47
52,2025-07-11,435.77,45
5,2025-07-11,878.77,42
23,2025-07-11,100.44,42
15,2025-07-11,74.35,49
34,2025-07-11,22.0,62
69,2025-07-11,61.7,43
35,2025-07-11,51.36,46
30,2025-07-11,224.18,53
86,2025-07-11,437.33,56
78,2025-07-11,147.04,55
44,2025-07-11,201.28,49
72,2025-07-11,67.98,63
90,2025-07-11,44.55,56
1,2025-07-11,8.83,56
73,2025-07-11,318.6,49
7,2025-07-11,546.31,54
55,2025-07-11,266.69,46
93,2025-07-11,22.37,50
17,2025-07-11,264.87,45
70,2025-07-11,479.06,37
53,2025-07-11,186.61,42
81,2025-07-11,24.65,51
39,2025-07-11,28.21,59
85,2025-07-11,278.7,49
50,2025-07-11,168.99,61
21,2025-07-11,52.85,52
100,2025-07-11,301.49,40
24,2025-07-11,604.06,59
13,2025-07-11,345.02,49
58,2025-07-11,388.48,47
8,2025-07-11,321.24,41
94,2025-07-11,308.35,45
